# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
45,1648,0.658840,1.810700,2.910903
44,1630,0.509133,1.543218,2.361630
45,1644,0.565119,1.562309,2.877371
45,1637,0.644234,1.642450,2.919796
45,1627,1.107209,3.127242,4.607439
46,1681,0.559330,1.550883,2.934290
46,1663,0.685048,1.796390,2.862773
46,1653,0.635338,1.606138,2.271314
47,1661,0.482135,1.725313,2.887405
47,1648,0.618476,1.782439,2.439005
47,1648,0.667098,1.700923,3.047854
47,1648,0.951902,2.726244,4.980588
48,1696,0.615525,1.645985,3.098380
48,1685,0.729416,1.945386,3.160270
48,1678,0.504447,1.645721,2.550591
48,1678,1.046667,2.800727,4.724042
48,1678,0.744647,1.821930,3.259161
49,1718,0.678923,1.688420,3.265270
49,1713,0.803227,1.724388,3.235263
48,1692,0.685890,1.647631,2.592005
49,1740,0.724763,1.660706,3.203354
49,1733,0.835560,1.736803,3.297298
49,1721,0.635727,1.567376,2.586832
50,1742,0.698596,1.510025,3.058260
50,1731,0.793653,1.536018,3.284914
49,1722,0.598485,1.398201,2.511666
50,1734,0.579069,1.312832,3.001511
50,1734,0.748210,1.469235,2.946444
49,1718,0.502666,1.314314,2.325381
50,1740,0.619169,1.408438,2.966751
50,1731,0.775878,1.557219,2.876628
49,1708,0.485892,1.352995,2.405039
50,1734,0.629652,1.425067,2.899754
50,1731,0.733605,1.581752,3.032218
50,1721,0.549101,1.466716,2.521234
51,1741,0.672894,1.484572,3.094778
51,1733,0.737517,1.640245,3.035397
50,1718,0.674359,1.591379,2.589477
51,1758,0.707804,1.662357,3.002426
51,1752,0.780597,1.743339,3.000304
50,1735,0.601201,1.733973,2.460763
51,1741,0.691864,1.716960,2.884754
51,1730,0.708469,1.753489,3.010750
51,1718,0.554274,1.689457,2.426206
50,1710,0.874826,2.233768,3.807408
51,1707,0.617291,1.617116,2.913927
51,1698,0.901147,1.899612,3.035012
50,1682,0.562184,1.672199,2.228152
50,1682,1.001400,2.728806,4.286612
