#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
108.821933,25,69,1692,15954
106.811386,25,69,1714,15935
112.292238,25,70,1691,15730
105.004619,25,70,1705,15661
103.140784,25,71,1631,15146
100.087778,25,72,1610,14904
102.119820,25,73,1634,14829
103.244945,25,74,1665,15153
108.297426,25,75,1661,15074
111.004321,25,75,1714,15215
103.822506,25,76,1712,15317
115.521314,25,77,1715,15500
107.172347,25,78,1743,15412
114.512891,25,78,1700,15166
114.093329,25,78,1679,14960
99.895002,25,79,1636,14699
100.976932,25,80,1575,14067
97.721890,25,80,1590,13938
97.821414,25,81,1595,13990
104.512521,25,82,1602,14079
99.068299,25,82,1625,13959
98.429259,25,83,1603,13751
96.068729,25,81,1699,13697
101.190293,25,82,1701,13563
93.563291,25,83,1724,13696
95.585740,25,80,1697,13211
97.341833,25,78,1665,13146
90.223536,25,77,1668,13298
91.625616,25,74,1679,13412
97.520116,25,74,1698,13335
90.697079,25,66,1696,13188
86.209035,25,44,1581,12183
86.548732,25,38,1537,11800
87.687427,25,36,1534,11887
87.037266,25,36,1580,11870
80.814475,25,35,1578,11986
81.654419,25,36,1560,11934
80.510838,25,37,1554,11912
92.187818,25,37,1544,11883
83.492925,25,37,1545,11723
75.240839,25,28,1469,10974
82.638309,25,24,1438,10812
74.189978,25,23,1418,10688
81.691682,25,24,1410,10750
75.918242,25,25,1383,10662
73.154073,25,26,1354,10512
73.106520,25,25,1337,10280
76.016684,25,24,1298,10079
81.194646,25,25,1319,10115
70.240457,25,24,1320,10130
72.668242,25,24,1280,9944
78.476443,25,24,1282,10004
72.607854,25,25,1321,10300
74.905379,25,26,1343,10535
73.223185,25,27,1322,10466
74.496769,25,28,1308,10500
73.108466,25,29,1302,10474
77.360762,25,29,1324,10465
78.421897,25,29,1346,10496
79.037204,25,26,1325,10517
74.110002,25,26,1300,10609
78.752539,25,26,1301,10622
74.279939,25,27,1266,10549
76.414137,25,28,1263,10509
75.270483,25,29,1267,10651
81.427871,25,30,1296,10910
84.760541,25,29,1308,10909
79.086057,25,30,1311,11121
86.751687,25,31,1326,11406
84.331180,25,31,1340,11406
83.568879,25,32,1350,11584
86.866924,25,33,1360,11847
84.223966,25,34,1374,11832
88.494729,25,34,1397,11932
90.090855,25,35,1407,12219
116.551387,25,34,1442,11928
88.373718,25,35,1428,11860
88.772404,25,36,1480,12249
88.332255,25,38,1504,12438
90.583917,25,38,1562,12525
86.839436,25,38,1533,12271
87.755021,25,38,1536,12457
88.701068,25,39,1569,12605
90.374667,25,42,1580,13022
90.790254,25,43,1607,13347
100.692878,25,45,1640,13706
95.011002,25,45,1642,13964
95.244428,25,47,1612,13982
101.391625,25,51,1628,14343
98.083286,25,50,1639,14410
102.595310,25,52,1644,14672
107.194504,25,53,1700,15139
101.709501,25,54,1706,15569
106.031645,25,53,1736,15494
108.194155,25,54,1706,15516
105.335842,25,55,1682,15513
107.802593,25,56,1657,15568
111.623113,25,57,1688,15908
103.524662,25,57,1713,15878
106.169901,25,57,1763,15841
108.121846,25,58,1771,16116
106.826093,25,58,1788,16034
104.870387,25,58,1790,16065
102.809194,25,59,1738,15830
99.219779,25,60,1670,15478
113.173359,25,63,1665,15518
109.986389,25,64,1677,15831
111.852483,25,71,1687,16167
113.669828,25,81,1757,16702
109.827411,25,89,1770,17090
113.220204,25,98,1772,17178
112.670077,25,103,1774,17388
112.981389,25,104,1808,17539
108.844184,25,105,1760,17330
110.036731,25,111,1752,17239
111.995083,25,110,1767,17396
114.690683,25,124,1774,17753
111.914955,25,127,1740,17675
125.176189,25,126,1778,17942
116.589893,25,129,1787,18001
118.725584,25,141,1806,18665
120.210667,25,141,1817,18892
120.674019,25,142,1803,19244
135.742633,25,146,1818,19744
137.804749,25,148,1806,20132
127.665889,25,151,1819,20555
131.154886,25,154,1836,21044
132.428046,25,154,1865,21445
138.562613,25,156,1922,22249
138.236190,25,157,1972,22784
142.514150,25,156,1996,22789
140.120916,25,157,2032,22775
139.085060,25,156,2023,22615
137.545652,25,157,2007,22593
141.968733,25,157,2020,22588
142.121554,25,155,2052,22359
139.321665,25,155,2082,22351
136.003464,25,156,2060,22500
136.136334,25,156,2106,22543
133.890895,25,157,2021,22058
134.315817,25,157,2035,22170
138.423494,25,158,2070,22515
135.971269,25,159,2099,22497
137.187831,25,159,2127,22727
143.140386,25,159,2160,23004
140.855441,25,159,2124,22641
135.551358,25,157,2119,22315
136.097461,25,157,2089,22146
134.928070,25,144,1977,20771
127.368347,25,142,1941,20330
123.755613,25,133,1920,19802
135.280372,25,131,1921,19688
135.932259,25,131,1954,19731
121.905698,25,127,1925,19257
121.066454,25,117,1894,18755
122.120558,25,110,1891,18627
118.341120,25,105,1855,17951
116.902546,25,105,1881,18089
116.815084,25,102,1858,17669
114.012777,25,105,1899,17825
116.830374,25,104,1948,17903
112.042921,25,98,1888,17334
110.420844,25,81,1726,15359
112.141353,25,80,1746,15542
107.395445,25,81,1759,15819
111.202443,25,81,1764,15993
115.120678,25,85,1805,16442
109.592576,25,87,1815,16254
110.067297,25,92,1813,16440
111.901850,25,92,1781,16296
108.023326,25,91,1791,16240
108.201184,25,91,1775,16178
107.257204,25,93,1741,16105
107.947206,25,88,1723,15911
109.762529,25,88,1711,15908
109.662618,25,91,1724,16016
105.488203,25,92,1719,16118
114.275928,25,92,1722,16185
104.341785,25,94,1700,15992
110.189191,25,93,1695,15678
102.635307,25,92,1692,15527
103.921162,25,92,1681,15590
110.424545,25,93,1710,15653
101.419604,25,94,1700,15712
103.046600,25,96,1738,15870
101.798144,25,94,1734,15829
108.670267,25,95,1763,15993
103.074096,25,96,1760,16076
103.724245,25,96,1718,15804
101.488037,25,97,1712,15604
104.003259,25,97,1730,15648
97.963465,25,98,1657,15315
105.368099,25,99,1623,15250
104.898270,25,100,1621,15129
100.053250,25,101,1600,15120
106.440888,25,103,1567,15074
102.337206,25,101,1548,15283
111.142131,25,101,1570,15604
103.758717,25,102,1585,16093
108.545886,25,104,1640,16475
108.877339,25,105,1651,16826
119.422760,25,104,1696,16936
124.030000,25,104,1744,17436
114.461572,25,105,1751,17426
116.512533,25,107,1775,17894
117.238620,25,107,1785,18181
120.129977,25,108,1847,18713
123.240446,25,108,1874,19082
122.341302,25,108,1899,19594
132.385408,25,110,1900,20055
128.623514,25,111,1872,20397
132.378592,25,113,1884,20676
131.348520,25,112,1865,20822
134.835853,25,123,1832,21328
137.422869,25,131,1822,22036
158.802948,25,146,1862,23177
152.818490,25,154,1897,24472
165.017437,25,167,1921,25406
161.496092,25,193,1955,26330
162.761751,25,200,2022,27326
192.266934,25,200,2043,27811
170.757251,25,200,2056,28131
173.585113,25,200,2108,28853
174.680940,25,200,2136,29149
183.501028,25,200,2204,29689
180.038796,25,200,2267,29659
183.352936,25,200,2272,30050
179.536901,25,200,2294,30295
184.293345,25,200,2294,30651
179.074612,25,200,2324,30357
185.798511,25,200,2350,30441
180.375259,25,200,2347,30247
179.608437,25,200,2367,30091
180.458031,25,200,2365,30311
180.475442,25,200,2373,30061
182.062508,25,200,2410,30169
180.296230,25,200,2414,29739
179.808298,25,200,2343,29704
184.653290,25,200,2347,29499
182.722151,25,200,2283,29200
175.149345,25,200,2302,29300
177.281456,25,200,2246,28771
174.925356,25,200,2184,28385
174.676956,25,200,2204,28268
176.644346,25,200,2201,28073
163.093989,25,200,2165,27148
166.274845,25,200,2151,26936
164.811168,25,200,2157,26658
160.345374,25,200,2138,26643
158.837146,25,200,2071,25403
158.043972,25,200,2036,25141
152.234540,25,200,2029,25085
153.568886,25,200,2014,25099
152.998700,25,200,2011,24981
155.234713,25,200,2008,25040
150.112323,25,200,2006,24920
167.358212,25,198,2015,24844
154.543940,25,198,2008,25121
153.658568,25,199,1990,24525
155.908442,25,200,1981,24837
154.321721,25,200,1971,24865
151.266496,25,200,1943,24551
156.817650,25,200,1920,23989
152.502818,25,200,1946,24237
151.705645,25,200,1957,24543
170.979434,25,200,2004,25443
158.875577,25,200,2026,26202
161.308927,25,200,2050,26541
162.093025,25,200,2018,26813
167.965268,25,200,2010,27001
163.866398,25,200,2070,27476
170.593635,25,200,2100,28180
167.829846,25,200,2140,28555
174.785661,25,200,2202,29703
176.916861,25,200,2263,30416
182.104299,25,200,2284,30721
182.334473,25,200,2331,31190
181.516251,25,191,2327,30800
179.112790,25,188,2335,30548
182.860429,25,188,2400,31209
183.055302,25,188,2396,31554
179.542484,25,189,2392,31432
196.965265,25,189,2370,31688
190.275608,25,192,2347,31595
196.425019,25,189,2360,31416
197.602903,25,191,2329,31531
182.396540,25,193,2288,31466
193.403635,25,193,2308,31712
191.438216,25,192,2271,31606
188.601887,25,200,2341,32517
181.314845,25,200,2281,31803
193.132067,25,200,2267,31955
185.989059,25,200,2238,32244
194.569867,25,200,2232,32357
191.888335,25,200,2186,32447
186.282500,25,200,2163,32384
188.552779,25,200,2164,32326
192.727145,25,200,2130,31910
191.618379,25,200,2131,32545
191.704669,25,200,2135,32832
197.820206,25,200,2174,33155
203.604955,25,200,2191,33108
192.254247,25,200,2171,32945
190.513457,25,200,2136,32687
204.444010,25,200,2172,33196
212.836196,25,200,2176,33228
198.687742,25,200,2208,33468
196.808487,25,200,2218,33532
197.180606,25,200,2210,33908
197.648278,25,200,2220,33833
199.146206,25,200,2232,34294
203.853666,25,200,2261,34054
220.496655,25,200,2294,34193
208.421451,25,200,2274,34280
215.100153,25,200,2257,33701
206.760216,25,200,2270,33991
199.810779,25,200,2275,33834
200.001242,25,200,2325,33883
197.298099,25,200,2304,33638
205.754748,25,200,2250,32991
194.356083,25,200,2217,32826
195.116659,25,200,2228,32744
210.241354,25,200,2214,33462
193.581624,25,200,2121,31828
191.200329,25,200,2080,31268
181.975319,25,200,2038,30043
180.934410,25,200,2038,29951
181.391327,25,200,2036,29706
204.462782,25,200,2026,29761
185.213559,25,200,2014,29780
184.617634,25,200,2037,30091
182.113826,25,200,2019,30086
200.743702,25,200,2043,29913
181.271320,25,200,2042,29370
177.334396,25,200,1988,28353
177.046117,25,200,1926,27787
173.271534,25,200,1958,27812
173.198834,25,200,2007,28009
173.208215,25,200,2052,28189
172.297592,25,200,2039,28028
173.805286,25,200,2048,28308
176.030919,25,200,2074,28862
180.960205,25,200,2093,28764
184.671201,25,200,2119,29120
180.294830,25,200,2112,29296
180.775732,25,200,2108,29202
198.126462,25,200,2041,28757
184.669325,25,200,1886,27699
188.309916,25,200,1888,27757
170.824779,25,200,1879,27253
166.854825,25,200,1857,26672
168.783078,25,200,1881,26587
174.451975,25,200,1841,26683
169.585578,25,200,1812,26409
173.910947,25,200,1833,27229
177.547545,25,200,1915,28693
181.037957,25,200,1990,29316
186.482244,25,200,2039,29676
186.511375,25,200,2091,30641
192.117764,25,200,2121,31171
196.579039,25,200,2181,31645
195.001891,25,200,2256,32759
194.235952,25,200,2354,32591
208.665889,25,200,2403,33221
201.091677,25,200,2428,33491
197.990199,25,200,2453,33427
198.791594,25,200,2504,33570
203.291387,25,200,2558,33566
203.206852,25,200,2672,34595
225.453512,25,200,2736,35382
208.853899,25,200,2741,35915
214.059836,25,200,2764,36049
211.759225,25,200,2762,36432
222.310737,25,200,2802,37071
219.562100,25,200,2861,38453
228.009812,25,200,2931,39027
247.344280,25,200,2869,38993
231.235615,25,200,2788,38197
213.866782,25,200,2757,37900
214.597703,25,200,2644,36374
86.405033,10,175,1091,14432
193.500122,25,200,2425,34286
188.273369,25,200,2364,33342
175.574601,25,200,2265,31717
