#KF insert[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,0.000000,0.836925,2.295344,3.563898,0.000432,22.659219
0.000000,0.000000,0.000000,0.560484,2.828317,4.476899,0.000683,36.612199
0.000000,0.000000,0.000000,0.891920,2.110606,3.517838,0.000410,13.852428
0.000000,0.000000,0.000000,0.643775,1.016102,2.299325,0.060639,39.329229
0.000000,0.000000,0.000000,0.955607,0.863015,2.120374,0.000547,15.540792
0.000000,0.000000,0.000000,1.070860,2.268778,4.322984,0.000555,23.399188
0.000000,0.000000,0.000000,0.514172,1.098917,2.243766,0.000396,25.798297
0.000000,0.000000,0.000000,0.659952,0.908704,1.986603,0.000298,15.576328
0.000000,0.000000,0.000000,0.915317,1.311605,3.267295,0.106665,18.530144
0.000000,0.000000,0.000000,0.683357,0.624354,2.000911,0.000312,25.466975
0.000000,0.000000,0.000000,0.965648,0.808713,1.869262,0.000317,18.986541
0.000000,0.000000,0.000000,0.499721,1.962059,3.950671,0.000805,26.464989
0.000000,0.000000,0.000000,0.613043,1.291590,2.708111,0.000446,15.738179
0.000000,0.000000,0.000000,0.829491,1.527597,3.297923,0.096881,17.895453
0.000000,0.000000,0.000000,0.715206,0.672074,1.925926,0.000316,38.471865
0.000000,0.000000,0.000000,0.512032,1.590404,3.161705,0.000441,26.818756
0.000000,0.000000,0.000000,0.481380,1.355871,2.372790,0.000393,14.003441
0.000000,0.000000,0.000000,0.734243,1.672075,3.107110,0.000496,12.903246
0.000000,0.000000,0.000000,1.046130,1.542585,2.884766,0.085619,20.016011
0.000000,0.000000,0.000000,0.851249,0.888408,2.136561,0.000375,27.830448
0.000000,0.000000,0.000000,0.502810,0.044002,3.014463,0.015626,36.157035
0.000000,0.000000,0.000000,0.480661,0.091719,6.408625,0.023165,13.909113
0.000000,0.000000,0.000000,1.301150,0.056805,4.632368,0.020773,12.127623
0.000000,0.000000,0.000000,0.577925,0.079189,6.815361,0.032092,50.500318
0.000000,0.000000,0.000000,0.497693,0.073014,5.884070,0.024367,15.989636
0.000000,0.000000,0.000000,0.879581,0.057305,4.405514,0.018389,12.378886
0.000000,0.000000,0.000000,0.493166,0.062397,5.467467,0.024349,20.509807
0.000000,0.000000,0.000000,0.494803,0.074408,6.297845,0.025829,12.813546
0.000000,0.000000,0.000000,1.311756,0.056659,4.818249,0.103375,11.571458
0.000000,0.000000,0.000000,0.838345,0.043235,3.930100,0.022467,35.621358
0.000000,0.000000,0.000000,0.996314,0.049776,3.777116,0.022772,18.829864
0.000000,0.000000,0.000000,0.485803,0.100777,8.205841,0.035800,27.355625
0.000000,0.000000,0.000000,0.968711,0.070286,6.522781,0.035467,12.084759
0.000000,0.000000,0.000000,0.624223,0.081280,6.541782,0.130105,36.151278
0.000000,0.000000,0.000000,0.997348,0.060004,5.797308,0.033610,15.121205
0.000000,0.000000,0.000000,0.842394,0.041354,3.619386,0.087036,35.386953
0.000000,0.000000,0.000000,0.487073,0.053638,4.518667,0.032943,29.613284
0.000000,0.000000,0.000000,0.467763,0.055802,3.909879,0.085310,11.722474
0.000000,0.000000,0.000000,1.018627,0.055090,5.002846,0.072428,11.712480
0.000000,0.000000,0.000000,0.638749,0.101263,7.272263,0.140365,38.646350
0.000000,0.000000,0.000000,0.944117,0.044706,4.584466,0.032480,16.129510
0.000000,0.000000,0.000000,0.982664,0.041279,3.640465,0.093110,24.418397
0.000000,0.000000,0.000000,0.639547,0.051532,4.321108,0.040597,36.054608
0.000000,0.000000,0.000000,0.759493,0.044793,3.603311,0.096204,16.258203
0.000000,0.000000,0.000000,0.966719,0.047565,4.200439,0.040031,19.493204
0.000000,0.000000,0.000000,0.665399,0.089638,5.485542,0.129637,27.132341
0.000000,0.000000,0.000000,0.507239,0.039142,3.869970,0.024018,17.873171
