#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
8.779488,0.003883,40.839772,76.656338,19.728458,146.008982
8.932563,0.003555,39.942636,75.686769,23.853510,148.420398
31.205120,0.004592,47.491984,71.417645,9.953910,160.074209
7.260203,0.005139,34.404902,79.068627,14.040966,134.780805
10.029663,0.006492,40.802046,70.277202,15.755316,136.871738
9.284574,0.002570,39.572432,74.054357,16.692489,139.607327
7.211452,0.005160,32.123561,94.893023,18.742604,152.976775
7.542589,0.009351,34.443892,71.468506,19.312402,132.778075
10.238670,0.003942,41.903803,74.885515,25.236219,152.269256
10.630985,0.004676,46.477662,71.684215,22.861933,151.660576
7.010497,0.006053,31.819537,71.529024,10.059101,120.425319
11.265868,0.004696,50.010107,76.929815,16.219466,154.430904
7.045765,0.029777,40.903244,75.642858,13.629062,137.251654
6.788169,0.023494,40.381766,77.234802,14.316433,138.745644
5.658263,0.044372,43.621094,23.599908,9.375047,82.299682
6.420303,0.046424,43.214374,77.356067,10.128592,137.166760
7.446398,0.052431,48.349857,79.125436,11.263121,146.238303
9.036704,0.064091,50.300738,74.453384,13.991331,147.847181
9.829387,0.059217,57.119984,81.121105,11.412928,159.543868
11.240049,0.055116,58.149383,73.901734,14.949929,158.296936
10.599346,0.044328,52.907072,71.144608,21.091176,155.787244
9.645758,0.071836,58.230908,70.133672,11.306874,149.390056
9.293640,0.039606,60.271877,81.105561,12.176283,162.887718
8.157867,0.067120,57.935507,75.923598,19.208462,161.293527
8.369933,0.054569,50.989603,70.731372,17.266024,147.412347
8.593572,0.032675,48.482145,74.765683,12.049197,143.924195
10.923591,0.056799,52.864563,72.986694,12.368690,149.201568
11.959868,0.046832,55.466596,79.840108,14.987731,162.302345
10.252744,0.040100,62.596036,79.436196,13.065910,165.392114
11.681569,0.046287,61.540866,78.185409,12.430060,163.885109
34.135172,0.101599,68.486773,79.680932,13.009304,195.414750
12.103958,0.080482,72.425178,85.137378,19.295143,952.728437
16.828656,0.072813,60.546032,82.244902,19.241155,178.934341
9.352745,0.059622,62.679488,88.379037,19.935348,180.406943
9.290960,0.069912,40.602988,87.047872,13.934726,150.947546
10.065790,0.040406,41.546716,83.753571,13.620496,149.028127
9.777887,0.050899,57.148117,93.224999,15.742310,175.945581
9.968415,0.054770,48.411723,88.595968,16.432755,163.464650
11.477259,0.073205,43.347622,90.398313,19.273107,164.570875
8.760947,0.057142,55.251637,90.060471,18.747687,172.878859
7.442009,0.054332,36.150397,96.402945,18.548961,158.599452
7.226504,0.048502,52.194241,97.693033,17.694087,174.857901
5.776118,0.044992,32.917568,94.615180,19.098105,152.452977
5.316134,0.038769,39.451869,94.318654,18.631472,157.757546
5.202224,0.051829,31.384523,91.703600,14.089117,142.432171
4.728497,0.027586,27.402259,95.156021,13.725490,141.040642
4.951365,0.037129,29.146258,88.993466,16.737078,139.866407
5.451783,0.040480,32.483354,94.949269,20.629455,153.555155
5.989780,0.039659,34.550004,97.354027,22.235661,160.170168
6.591453,0.060186,36.783830,95.986383,20.808551,160.231573
8.495181,0.063607,38.669363,87.872733,21.985646,157.087479
7.068179,0.059505,38.263921,86.837234,16.361565,148.591325
7.624432,0.043556,39.806600,84.105877,15.751657,147.332903
8.429672,0.064123,42.511010,83.594905,17.915187,152.515605
8.334504,0.051904,41.445984,86.195357,20.514623,156.543370
9.757880,0.066077,43.552621,89.104771,20.283179,162.765869
8.084440,0.062603,41.094875,85.673074,17.107312,152.023015
8.306342,0.043233,42.841416,87.888321,17.130255,156.210497
10.111988,0.072009,40.016806,91.815224,18.307699,160.324704
8.982550,0.059303,39.769100,88.558806,18.439501,155.810367
8.910878,0.041208,37.087412,90.545424,21.406687,157.992372
10.660474,0.071198,36.971913,92.865839,15.872404,156.443209
9.399425,0.061992,39.251368,95.235695,20.055211,164.004684
11.027265,0.075029,41.249945,95.008609,16.333410,163.695392
9.006483,0.067051,42.554140,95.256107,20.196499,167.081288
9.848596,0.074087,41.046089,91.176992,20.568942,162.715868
11.468373,0.076738,38.239998,92.912521,18.394611,161.093651
9.141808,0.078252,36.321549,93.132667,19.039399,157.714488
12.709157,0.091719,44.454239,95.344549,20.197885,172.798572
9.332791,0.077853,34.029115,91.117317,21.788890,156.346692
20.555366,0.075719,36.329900,89.872163,17.887370,164.721561
9.073814,0.058805,34.951314,89.563933,19.060766,152.709990
9.193752,0.052915,32.739734,91.382864,22.386829,155.756857
9.195738,0.064377,32.880614,89.603597,19.357303,151.102544
9.189816,0.066776,33.354522,89.637323,18.800963,151.050491
9.039672,0.064820,35.004477,91.111498,19.576149,154.797368
8.857218,0.062994,34.890357,92.178745,19.701605,155.691566
9.790820,0.072144,36.973861,93.451071,20.688857,160.979508
9.426218,0.092929,40.804208,103.933199,20.669144,174.926856
13.206201,0.082394,42.556047,101.262974,21.463754,178.572171
10.430315,0.064890,41.549708,96.429144,21.644547,170.119570
10.232158,0.065370,40.439242,97.578058,23.122854,171.439044
15.219012,0.095985,51.359859,105.193666,25.611839,197.482745
10.575605,0.077291,41.128212,99.450861,22.173133,173.406122
10.258643,0.074114,45.293330,106.402822,26.840190,188.870519
10.393673,0.068996,40.507317,99.070608,23.046464,173.088083
10.204018,0.065145,45.963307,103.954226,23.954643,184.142378
10.508279,0.060871,49.308717,104.931427,22.704298,187.514889
10.158485,0.070271,42.171855,101.574128,23.262808,177.238498
14.077971,0.087928,43.873322,102.416862,28.531945,188.989158
10.857240,0.090684,44.915439,112.412986,22.237582,190.514909
10.433148,0.079867,46.137374,101.328647,26.660653,184.640729
9.934587,0.074343,45.593561,108.829215,26.217756,190.650508
9.844776,0.084015,40.238715,101.961580,23.426449,175.556567
10.649692,0.091110,37.508737,101.216586,24.029176,173.496088
10.020052,0.073239,42.476144,100.147669,24.458907,177.177475
9.545223,0.073439,41.275929,103.134478,23.599265,177.629489
9.534389,0.073001,39.513713,99.336791,27.848609,176.307719
9.356845,0.070420,39.763773,100.229634,18.594344,168.015994
9.528563,0.077670,41.855009,106.507402,19.347253,177.316734
10.071991,0.084964,43.366830,103.970969,17.368355,174.864782
10.390170,0.083411,37.783865,101.449007,23.684823,173.392776
13.473219,0.078655,45.575017,110.348196,23.011898,192.488176
10.265913,0.070912,38.816594,101.329752,25.005221,175.489842
10.640787,0.067864,41.644727,109.384518,27.859869,189.598707
10.493161,0.057668,40.382331,101.215380,24.342569,176.491932
11.230021,0.068421,44.616520,107.263196,24.495579,187.674833
11.596426,0.072145,42.100601,99.658955,28.473530,181.902564
11.899098,0.077549,46.353455,107.849437,23.850720,190.031369
11.538933,0.064385,39.538342,103.713127,24.263701,179.119476
11.515060,0.053005,40.924090,102.500262,18.675119,173.668700
12.661827,0.073932,46.361035,110.315502,32.956715,202.369802
15.248012,0.069078,44.583640,103.799880,25.870596,189.572020
11.558945,0.060960,44.962437,104.736838,21.137073,182.457531
11.693402,0.063813,47.588032,110.007868,25.405025,194.759174
12.642681,0.070833,49.289999,107.777580,22.901351,192.683418
12.493293,0.086785,47.786574,107.465727,27.747101,195.580573
12.022821,0.077156,42.448760,104.922120,25.809500,185.281420
11.243042,0.084966,43.919476,110.494291,25.646340,191.389537
10.649689,0.060357,38.814380,103.374748,20.348500,173.248935
11.008735,0.058024,39.166904,103.701486,29.493475,183.429852
11.063446,0.060461,40.742433,103.029155,18.595404,173.492100
10.768614,0.076815,38.407423,102.745967,22.979925,174.980032
10.799167,0.059820,40.966519,104.820047,26.308660,182.955917
10.985149,0.076655,42.725279,106.797511,26.540345,187.126873
10.484944,0.087894,40.123127,104.905469,26.293553,181.896048
10.663587,0.084943,39.497106,103.995414,31.865444,186.108329
10.108726,0.090244,34.850780,103.093049,24.737688,172.881541
9.811659,0.082741,35.478368,103.998278,22.582237,171.954512
12.470296,0.086677,41.832993,100.553052,22.349185,177.293231
10.322376,0.084256,36.767195,99.361549,26.204260,172.740793
15.573743,0.095445,42.242138,100.132187,22.751748,180.796233
10.490988,0.080605,37.770795,101.561521,28.849971,178.755334
10.184110,0.073959,39.332769,101.324031,29.575978,180.492565
10.391417,0.076025,38.361495,101.750903,22.187870,172.769532
9.783439,0.080178,36.595204,100.519189,22.484579,169.463898
14.079591,0.082959,41.192003,103.940827,22.898237,182.194842
9.008324,0.067471,35.341772,100.460205,27.379072,172.258371
8.721871,0.063878,33.663417,99.963121,23.673322,166.086762
10.771273,0.056734,38.200066,100.320961,25.846329,175.196723
9.452225,0.081427,39.223553,102.733628,24.418021,175.910452
9.838727,0.086374,38.970058,104.500032,25.276097,178.672826
9.962610,0.091372,40.762509,106.351387,25.416072,182.585414
11.259481,0.105383,43.490694,104.791440,24.889386,184.538144
10.773871,0.070507,43.393537,104.411126,25.222746,183.873176
10.396651,0.085016,44.327766,115.431279,25.789610,196.031742
10.272081,0.076869,39.466237,108.260162,30.432241,188.509234
9.376932,0.074793,42.939426,115.791542,29.226875,197.410898
9.507527,0.077687,38.599686,107.077692,26.153151,181.417131
13.367946,0.088750,48.048759,113.711961,28.173033,203.391973
11.840079,0.070156,39.640937,108.821933,32.170164,192.544574
13.156927,0.088738,40.131570,106.811386,28.550416,188.740143
9.188135,0.081148,40.433803,112.292238,30.895256,192.892190
8.133880,0.084101,33.289718,105.004619,24.832398,171.346551
7.334294,0.076284,30.570480,103.140784,19.587263,160.710057
6.563298,0.061883,29.640410,100.087778,21.714115,158.068975
7.207008,0.051721,35.232574,102.119820,18.746694,163.359060
10.108154,0.085624,36.130075,103.244945,19.069072,168.639142
7.574385,0.075914,31.798899,108.297426,28.213210,175.961303
11.020767,0.083688,43.894012,111.004321,18.988650,184.992761
8.198978,0.076622,32.131823,103.822506,20.352487,164.583489
11.165164,0.078274,41.479032,115.521314,28.268368,196.513526
8.422487,0.066560,37.661975,107.172347,20.446256,173.770993
7.643132,0.073201,33.039638,114.512891,22.219210,177.489259
7.555560,0.074614,32.083361,114.093329,15.574944,169.382984
9.356843,0.071525,31.401285,99.895002,17.248430,157.974357
7.269050,0.063336,31.325591,100.976932,15.263772,154.899745
7.653753,0.061779,37.844032,97.721890,10.837201,154.119526
8.278821,0.064699,31.064113,97.821414,11.288826,148.518935
6.600525,0.065267,29.218016,104.512521,15.910736,156.307773
7.410034,0.078896,37.524442,99.068299,15.774888,159.857465
5.712280,0.080868,27.318232,98.429259,15.983745,147.525226
5.458298,0.053099,27.017906,96.068729,5.452318,134.051547
5.846311,0.066403,25.935073,101.190293,5.161389,138.200528
5.499716,0.075794,28.245204,93.563291,6.886838,134.272458
5.971344,0.064090,29.744502,95.585740,7.187415,138.554669
7.838654,0.083849,39.231383,97.341833,5.641321,150.138237
7.838572,0.084848,29.710334,90.223536,6.006500,133.865057
7.936763,0.074203,32.195770,91.625616,9.034366,140.867538
